,precision,recall,f1-score,support
Without Disease,0.5048543689320388,0.5777777777777777,0.538860103626943,90.0
With Disease,0.5064935064935064,0.43333333333333335,0.46706586826347307,90.0
accuracy,0.5055555555555555,0.5055555555555555,0.5055555555555555,0.5055555555555555
macro avg,0.5056739377127726,0.5055555555555555,0.502962985945208,180.0
weighted avg,0.5056739377127727,0.5055555555555555,0.502962985945208,180.0
