,precision,recall,f1-score,support
Without Disease,0.5588235294117647,0.2111111111111111,0.3064516129032258,90.0
With Disease,0.5136986301369864,0.8333333333333334,0.635593220338983,90.0
accuracy,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.5222222222222223
macro avg,0.5362610797743755,0.5222222222222223,0.47102241662110444,180.0
weighted avg,0.5362610797743755,0.5222222222222223,0.4710224166211044,180.0
