,precision,recall,f1-score,support
Without Disease,0.5327868852459017,0.7222222222222222,0.6132075471698113,90.0
With Disease,0.5689655172413793,0.36666666666666664,0.44594594594594594,90.0
accuracy,0.5444444444444444,0.5444444444444444,0.5444444444444444,0.5444444444444444
macro avg,0.5508762012436406,0.5444444444444444,0.5295767465578787,180.0
weighted avg,0.5508762012436405,0.5444444444444444,0.5295767465578787,180.0
