,precision,recall,f1-score,support
Without Disease,0.4897959183673469,0.5333333333333333,0.5106382978723404,90.0
With Disease,0.4878048780487805,0.4444444444444444,0.46511627906976744,90.0
accuracy,0.4888888888888889,0.4888888888888889,0.4888888888888889,0.4888888888888889
macro avg,0.4888003982080637,0.4888888888888889,0.48787728847105394,180.0
weighted avg,0.48880039820806365,0.4888888888888889,0.4878772884710539,180.0
