,precision,recall,f1-score,support
Without Disease,0.5428571428571428,0.4222222222222222,0.475,90.0
With Disease,0.5272727272727272,0.6444444444444445,0.58,90.0
accuracy,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
macro avg,0.535064935064935,0.5333333333333333,0.5275,180.0
weighted avg,0.535064935064935,0.5333333333333333,0.5275,180.0
