,precision,recall,f1-score,support
Without Disease,0.43859649122807015,0.5555555555555556,0.49019607843137253,90.0
With Disease,0.3939393939393939,0.28888888888888886,0.3333333333333333,90.0
accuracy,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222
macro avg,0.416267942583732,0.4222222222222222,0.4117647058823529,180.0
weighted avg,0.41626794258373206,0.4222222222222222,0.411764705882353,180.0
