,precision,recall,f1-score,support
Without Disease,0.5564516129032258,0.7666666666666667,0.6448598130841121,90.0
With Disease,0.625,0.3888888888888889,0.4794520547945205,90.0
accuracy,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5777777777777777
macro avg,0.5907258064516129,0.5777777777777778,0.5621559339393163,180.0
weighted avg,0.5907258064516129,0.5777777777777777,0.5621559339393163,180.0
