,precision,recall,f1-score,support
Without Disease,0.5294117647058824,0.7,0.6028708133971292,90.0
With Disease,0.5573770491803278,0.37777777777777777,0.4503311258278146,90.0
accuracy,0.5388888888888889,0.5388888888888889,0.5388888888888889,0.5388888888888889
macro avg,0.5433944069431051,0.5388888888888889,0.5266009696124719,180.0
weighted avg,0.5433944069431051,0.5388888888888889,0.5266009696124718,180.0
