,precision,recall,f1-score,support
Without Disease,0.5063291139240507,0.4444444444444444,0.47337278106508873,90.0
With Disease,0.504950495049505,0.5666666666666667,0.5340314136125655,90.0
accuracy,0.5055555555555555,0.5055555555555555,0.5055555555555555,0.5055555555555555
macro avg,0.5056398044867778,0.5055555555555555,0.5037020973388271,180.0
weighted avg,0.5056398044867778,0.5055555555555555,0.5037020973388271,180.0
