,precision,recall,f1-score,support
Without Disease,0.631578947368421,0.26666666666666666,0.375,90.0
With Disease,0.5352112676056338,0.8444444444444444,0.6551724137931034,90.0
accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
macro avg,0.5833951074870274,0.5555555555555556,0.5150862068965517,180.0
weighted avg,0.5833951074870274,0.5555555555555556,0.5150862068965517,180.0
