,precision,recall,f1-score,support
Without Disease,0.45544554455445546,0.5111111111111111,0.4816753926701571,90.0
With Disease,0.4430379746835443,0.3888888888888889,0.41420118343195267,90.0
accuracy,0.45,0.45,0.45,0.45
macro avg,0.44924175961899987,0.44999999999999996,0.44793828805105484,180.0
weighted avg,0.44924175961899987,0.45,0.44793828805105484,180.0
