,precision,recall,f1-score,support
Without Disease,0.4726027397260274,0.7666666666666667,0.5847457627118644,90.0
With Disease,0.38235294117647056,0.14444444444444443,0.20967741935483872,90.0
accuracy,0.45555555555555555,0.45555555555555555,0.45555555555555555,0.45555555555555555
macro avg,0.427477840451249,0.4555555555555556,0.3972115910333516,180.0
weighted avg,0.427477840451249,0.45555555555555555,0.3972115910333516,180.0
