model,optimizer,learning_rate,accuracy,precision,recall,specificity,f1_score,auc,tn,fp,fn,tp,history_plot,roc_plot,classification_report,confusion_matrix
vgg19,adagrad,0.0001,0.5388888888888889,0.52046783625731,0.9888888888888889,0.08888888888888889,0.6819923371647509,0.6487654320987655,8,82,1,89,outputs_vgg19\plots\vgg19_adagrad_lr_0p0001_history.png,outputs_vgg19\plots\vgg19_adagrad_lr_0p0001_roc.png,outputs_vgg19\reports\vgg19_adagrad_lr_0p0001_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adagrad_lr_0p0001_confusion_matrix.csv
vgg19,adagrad,1e-05,0.3888888888888889,0.3717948717948718,0.32222222222222224,0.45555555555555555,0.34523809523809523,0.3676543209876543,41,49,61,29,outputs_vgg19\plots\vgg19_adagrad_lr_1e-05_history.png,outputs_vgg19\plots\vgg19_adagrad_lr_1e-05_roc.png,outputs_vgg19\reports\vgg19_adagrad_lr_1e-05_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adagrad_lr_1e-05_confusion_matrix.csv
vgg19,adagrad,1e-06,0.48333333333333334,0.49032258064516127,0.8444444444444444,0.12222222222222222,0.6204081632653061,0.5362962962962963,11,79,14,76,outputs_vgg19\plots\vgg19_adagrad_lr_1e-06_history.png,outputs_vgg19\plots\vgg19_adagrad_lr_1e-06_roc.png,outputs_vgg19\reports\vgg19_adagrad_lr_1e-06_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adagrad_lr_1e-06_confusion_matrix.csv
vgg19,adamax,0.0001,0.6555555555555556,0.6707317073170732,0.6111111111111112,0.7,0.6395348837209303,0.6520987654320988,63,27,35,55,outputs_vgg19\plots\vgg19_adamax_lr_0p0001_history.png,outputs_vgg19\plots\vgg19_adamax_lr_0p0001_roc.png,outputs_vgg19\reports\vgg19_adamax_lr_0p0001_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adamax_lr_0p0001_confusion_matrix.csv
vgg19,adamax,1e-05,0.5111111111111111,0.5081967213114754,0.6888888888888889,0.3333333333333333,0.5849056603773585,0.5608641975308643,30,60,28,62,outputs_vgg19\plots\vgg19_adamax_lr_1e-05_history.png,outputs_vgg19\plots\vgg19_adamax_lr_1e-05_roc.png,outputs_vgg19\reports\vgg19_adamax_lr_1e-05_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adamax_lr_1e-05_confusion_matrix.csv
vgg19,adamax,1e-06,0.4777777777777778,0.4818181818181818,0.5888888888888889,0.36666666666666664,0.53,0.5401234567901235,33,57,37,53,outputs_vgg19\plots\vgg19_adamax_lr_1e-06_history.png,outputs_vgg19\plots\vgg19_adamax_lr_1e-06_roc.png,outputs_vgg19\reports\vgg19_adamax_lr_1e-06_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adamax_lr_1e-06_confusion_matrix.csv
vgg19,adadelta,0.0001,0.5666666666666667,0.5461538461538461,0.7888888888888889,0.34444444444444444,0.6454545454545455,0.5858024691358025,31,59,19,71,outputs_vgg19\plots\vgg19_adadelta_lr_0p0001_history.png,outputs_vgg19\plots\vgg19_adadelta_lr_0p0001_roc.png,outputs_vgg19\reports\vgg19_adadelta_lr_0p0001_classification_report.csv,outputs_vgg19\confusion_matrices\vgg19_adadelta_lr_0p0001_confusion_matrix.csv
